地名,センター,燃やせるごみ・スプレー缶,枝・葉・草,燃やせないごみ,容器プラ,雑がみ,びん・缶・ペット
中央区(1) 南4条西7丁目・8丁目（南4条通の南側のみ）,札幌センター1,月 木,20230920 20231018 20231115 20240508 20240605 20240703 20240731 20240828 20240925,20230906 20231004 20231101 20231129 20231227 20240131 20240228 20240327 20240424 20240522 20240619 20240717 20240814 20240911,金,20230913 20230927 20231011 20231025 20231108 20231122 20231206 20231220 20240110 20240124 20240207 20240221 20240306 20240320 20240403 20240417 20240501 20240515 20240529 20240612 20240626 20240710 20240724 20240807 20240821 20240904 20240918,火
中央区(1) 南5条～8条の西7丁目・8丁目（南7条西8丁目1024番地を除く）,札幌センター1,月 木,20230920 20231018 20231115 20240508 20240605 20240703 20240731 20240828 20240925,20230906 20231004 20231101 20231129 20231227 20240131 20240228 20240327 20240424 20240522 20240619 20240717 20240814 20240911,金,20230913 20230927 20231011 20231025 20231108 20231122 20231206 20231220 20240110 20240124 20240207 20240221 20240306 20240320 20240403 20240417 20240501 20240515 20240529 20240612 20240626 20240710 20240724 20240807 20240821 20240904 20240918,火
中央区(1) 南9条西4丁目～6丁目（南9条通の南側のみ）,札幌センター1,月 木,20230920 20231018 20231115 20240508 20240605 20240703 20240731 20240828 20240925,20230906 20231004 20231101 20231129 20231227 20240131 20240228 20240327 20240424 20240522 20240619 20240717 20240814 20240911,金,20230913 20230927 20231011 20231025 20231108 20231122 20231206 20231220 20240110 20240124 20240207 20240221 20240306 20240320 20240403 20240417 20240501 20240515 20240529 20240612 20240626 20240710 20240724 20240807 20240821 20240904 20240918,火
中央区(1) 南9条西7丁目～12丁目,札幌センター1,月 木,20230920 20231018 20231115 20240508 20240605 20240703 20240731 20240828 20240925,20230906 20231004 20231101 20231129 20231227 20240131 20240228 20240327 20240424 20240522 20240619 20240717 20240814 20240911,金,20230913 20230927 20231011 20231025 20231108 20231122 20231206 20231220 20240110 20240124 20240207 20240221 20240306 20240320 20240403 20240417 20240501 20240515 20240529 20240612 20240626 20240710 20240724 20240807 20240821 20240904 20240918,火
中央区(1) 南10条～13条の西5丁目～12丁目,札幌センター1,月 木,20230920 20231018 20231115 20240508 20240605 20240703 20240731 20240828 20240925,20230906 20231004 20231101 20231129 20231227 20240131 20240228 20240327 20240424 20240522 20240619 20240717 20240814 20240911,金,20230913 20230927 20231011 20231025 20231108 20231122 20231206 20231220 20240110 20240124 20240207 20240221 20240306 20240320 20240403 20240417 20240501 20240515 20240529 20240612 20240626 20240710 20240724 20240807 20240821 20240904 20240918,火
中央区(1) 南14条西5丁目,札幌センター1,月 木,20230920 20231018 20231115 20240508 20240605 20240703 20240731 20240828 20240925,20230906 20231004 20231101 20231129 20231227 20240131 20240228 20240327 20240424 20240522 20240619 20240717 20240814 20240911,金,20230913 20230927 20231011 20231025 20231108 20231122 20231206 20231220 20240110 20240124 20240207 20240221 20240306 20240320 20240403 20240417 20240501 20240515 20240529 20240612 20240626 20240710 20240724 20240807 20240821 20240904 20240918,火
中央区(1) 南14条西6丁目～12丁目（行啓通の北側のみ）,札幌センター1,月 木,20230920 20231018 20231115 20240508 20240605 20240703 20240731 20240828 20240925,20230906 20231004 20231101 20231129 20231227 20240131 20240228 20240327 20240424 20240522 20240619 20240717 20240814 20240911,金,20230913 20230927 20231011 20231025 20231108 20231122 20231206 20231220 20240110 20240124 20240207 20240221 20240306 20240320 20240403 20240417 20240501 20240515 20240529 20240612 20240626 20240710 20240724 20240807 20240821 20240904 20240918,火
中央区(2) 南14条西6丁目～12丁目（行啓通の南側のみ）,札幌センター1,月 木,20230919 20231017 20231114 20240507 20240604 20240702 20240730 20240827 20240924,20230905 20231003 20231031 20231128 20231226 20240130 20240227 20240326 20240423 20240521 20240618 20240716 20240813 20240910,水,20230912 20230926 20231010 20231024 20231107 20231121 20231205 20231219 20240109 20240123 20240206 20240220 20240305 20240319 20240402 20240416 20240430 20240514 20240528 20240611 20240625 20240709 20240723 20240806 20240820 20240903 20240917,金
中央区(2) 南15条西4丁目～12丁目,札幌センター1,月 木,20230919 20231017 20231114 20240507 20240604 20240702 20240730 20240827 20240924,20230905 20231003 20231031 20231128 20231226 20240130 20240227 20240326 20240423 20240521 20240618 20240716 20240813 20240910,水,20230912 20230926 20231010 20231024 20231107 20231121 20231205 20231219 20240109 20240123 20240206 20240220 20240305 20240319 20240402 20240416 20240430 20240514 20240528 20240611 20240625 20240709 20240723 20240806 20240820 20240903 20240917,金
中央区(2) 南16条西1丁目～12丁目,札幌センター1,月 木,20230919 20231017 20231114 20240507 20240604 20240702 20240730 20240827 20240924,20230905 20231003 20231031 20231128 20231226 20240130 20240227 20240326 20240423 20240521 20240618 20240716 20240813 20240910,水,20230912 20230926 20231010 20231024 20231107 20231121 20231205 20231219 20240109 20240123 20240206 20240220 20240305 20240319 20240402 20240416 20240430 20240514 20240528 20240611 20240625 20240709 20240723 20240806 20240820 20240903 20240917,金
